iter	MultiClass
0	1.680775025
1	1.415455464
2	1.226367759
3	1.077093833
4	0.958372232
5	0.8633336633
6	0.7821591864
7	0.7164489553
8	0.658060285
9	0.6048726417
10	0.5608814
11	0.5191104757
12	0.4824408415
13	0.4499049682
14	0.4203468001
15	0.3940577197
16	0.3700308124
17	0.3481849011
18	0.32751904
19	0.3098961766
20	0.2921082724
21	0.2772305687
22	0.2635883024
23	0.2513761884
24	0.2387236158
25	0.2267049561
26	0.2162111088
27	0.2067251049
28	0.1972113131
29	0.1895119029
30	0.1820668645
31	0.1748057257
32	0.1681580532
33	0.1616211469
34	0.1554322705
35	0.1502627719
36	0.1455303121
37	0.140407224
38	0.1354737455
39	0.1310944361
40	0.1272845623
41	0.1236757436
42	0.1201953234
43	0.1166211448
44	0.113248976
45	0.1096873569
46	0.1064723169
47	0.1040784679
48	0.1019086031
49	0.09928034705
50	0.09689338155
51	0.09477932123
52	0.09218522491
53	0.09035388766
54	0.08832908758
55	0.08669119384
56	0.08459795689
57	0.0828570492
58	0.08125459156
59	0.07940696663
60	0.07797538889
61	0.07632412312
62	0.0749980535
63	0.07372340285
64	0.07250684053
65	0.07117124967
66	0.06983429223
67	0.06856517467
68	0.06713952949
69	0.06635290532
70	0.06554042796
71	0.06467917148
72	0.0636042939
73	0.06268970275
74	0.06175717951
75	0.06106222516
76	0.06036300041
77	0.05981552839
78	0.05912587389
79	0.05831965861
80	0.05776059988
81	0.05705754311
82	0.05638644943
83	0.05558034803
84	0.05476117483
85	0.05415147207
86	0.05350898812
87	0.0529125525
88	0.05232493177
89	0.05166744587
90	0.05106973139
91	0.05058445994
92	0.05009472322
93	0.04955476421
94	0.04915603788
95	0.04867479767
96	0.0482809379
97	0.04788105523
98	0.04742354266
99	0.04692342254
100	0.0465021557
101	0.04612416253
102	0.04584221415
103	0.04540925024
104	0.04509782097
105	0.04483246671
106	0.04439589086
107	0.04418147819
108	0.04374468225
109	0.04340535443
110	0.04310334761
111	0.04284311594
112	0.04260710701
113	0.04220379368
114	0.04196402818
115	0.04159555502
116	0.04135040407
117	0.04088153954
118	0.04048111777
119	0.04026384677
120	0.04002892169
121	0.03984775738
122	0.03966227548
123	0.03942329702
124	0.03909262794
125	0.03893034497
126	0.03868429618
127	0.03840283888
128	0.03805228992
129	0.03779626888
130	0.03743669601
131	0.03717641207
132	0.03699714519
133	0.03678070903
134	0.03657430996
135	0.03619774348
136	0.03597418617
137	0.03582016722
138	0.03558317246
139	0.03543550066
140	0.03521685675
141	0.03500466148
142	0.03457866932
143	0.03435150555
144	0.03414564584
145	0.03389856911
146	0.03372096514
147	0.03360557045
148	0.03344398684
149	0.033262544
150	0.03311810433
151	0.03296873316
152	0.0327339174
153	0.03265515915
154	0.03248249655
155	0.03225567909
156	0.0320673908
157	0.03196223172
158	0.03185630695
159	0.0315664296
160	0.03146765356
161	0.03121603998
162	0.03096791396
163	0.03086527967
164	0.03058492223
165	0.03048456518
166	0.03036933456
167	0.03026344656
168	0.03018041672
169	0.03000168508
170	0.02984198283
171	0.02973074561
172	0.02959256557
173	0.02944781784
174	0.0293532109
175	0.02910965047
176	0.02893798287
177	0.0287468048
178	0.0286039116
179	0.02837503288
180	0.02823233983
181	0.02804941104
182	0.0279536047
183	0.02782176765
184	0.02770210429
185	0.02758862074
186	0.02751809569
187	0.02741177168
188	0.027326946
189	0.02722258882
190	0.02712290386
191	0.02693577596
192	0.02685958573
193	0.02677582852
194	0.02668979613
195	0.02660304191
196	0.02653320822
197	0.02641168422
198	0.0262480502
199	0.02615953435
200	0.02600612473
201	0.02595277367
202	0.0258214143
203	0.02576301098
204	0.02571373958
205	0.02559574659
206	0.02541606739
207	0.02529265442
208	0.02515382396
209	0.02505040451
210	0.02493615711
211	0.02484438215
212	0.02479613619
213	0.02468182003
214	0.02458785308
215	0.0244857192
216	0.02438890351
217	0.02428020105
218	0.02414846949
219	0.02401960976
220	0.02391062017
221	0.02369741882
222	0.023602207
223	0.02352248827
224	0.02347133637
225	0.02330885139
226	0.02322130026
227	0.02314704426
228	0.02303924077
229	0.02295942928
230	0.02289660658
231	0.02283688065
232	0.02276563896
233	0.02267812083
234	0.0225657758
235	0.02251428697
236	0.02242342679
237	0.02231737081
238	0.02227954366
239	0.02216952823
240	0.02209044295
241	0.02203149041
242	0.02195947551
243	0.02188153918
244	0.02175909109
245	0.02168083367
246	0.0215636133
247	0.02150894307
248	0.02144238279
249	0.02133956713
250	0.02129950617
251	0.0212414474
252	0.02118426445
253	0.02109117178
254	0.02100885372
255	0.02096594106
256	0.02092309981
257	0.0208562903
258	0.02075480798
259	0.02069531469
260	0.02064506492
261	0.02061888897
262	0.02054339918
263	0.0204936345
264	0.02045311126
265	0.02038417922
266	0.02032905756
267	0.02027794709
268	0.02021880785
269	0.02007056453
270	0.01997937866
271	0.01990254843
272	0.01980177911
273	0.01975668796
274	0.01968373736
275	0.01961240506
276	0.01955373721
277	0.01949857115
278	0.01937799089
279	0.01931397815
280	0.01927453544
281	0.01924943999
282	0.01916531865
283	0.01911082356
284	0.01904026751
285	0.01900509768
286	0.0189661472
287	0.01892631085
288	0.01888608523
289	0.0188419648
290	0.01878750874
291	0.01870081024
292	0.01867029204
293	0.01863994815
294	0.01856800538
295	0.01849833327
296	0.01844662513
297	0.01840280525
298	0.01836377653
299	0.01826745205
300	0.0181676676
301	0.0180528923
302	0.01797444044
303	0.0179398332
304	0.01787053183
305	0.01778599111
306	0.01772064199
307	0.01764523203
308	0.01760624304
309	0.01757582687
310	0.01754145626
311	0.01748751242
312	0.0174466253
313	0.01742855799
314	0.01738349485
315	0.01734653969
316	0.01731528089
317	0.0172429787
318	0.01721414442
319	0.01718955944
320	0.01715748117
321	0.01708282834
322	0.01699894392
323	0.01696187435
324	0.01689017178
325	0.01684479248
326	0.01682869635
327	0.01678998291
328	0.01675088479
329	0.01668570123
330	0.01662852372
331	0.01658270826
332	0.01655564601
333	0.01653331331
334	0.01645830153
335	0.01643588508
336	0.01639940968
337	0.016353246
338	0.01629584605
339	0.0162554517
340	0.01621339004
341	0.01617552579
342	0.01609728581
343	0.01604156763
344	0.01600169873
345	0.01593985434
346	0.0158963373
347	0.01584366411
348	0.01580994529
349	0.01577655661
350	0.01571690369
351	0.01566055662
352	0.01562025848
353	0.01559129201
354	0.01554568559
355	0.01548460759
356	0.0154572926
357	0.01540624421
358	0.01537244126
359	0.0153368866
360	0.01528752011
361	0.01521592865
362	0.01516843404
363	0.01513178365
364	0.0150716266
365	0.01501501706
366	0.01498099411
367	0.01491683259
368	0.01487471135
369	0.01485470824
370	0.01479709925
371	0.01477137236
372	0.01472591152
373	0.01469543185
374	0.01465906426
375	0.01460518833
376	0.01455664134
377	0.01452625859
378	0.0144718425
379	0.01445015341
380	0.01443071764
381	0.01439420058
382	0.01437001121
383	0.0143423044
384	0.01430490421
385	0.01427641649
386	0.01422220239
387	0.01420375252
388	0.01415822892
389	0.01412717806
390	0.01411361963
391	0.01409216242
392	0.0140462483
393	0.01402134678
394	0.01397548796
395	0.01392331132
396	0.01390710072
397	0.01385616937
398	0.01383509818
399	0.01380196389
400	0.01376281359
401	0.01369685639
402	0.01364751312
403	0.01360544556
404	0.01359690754
405	0.01355634405
406	0.01352861544
407	0.01348797351
408	0.01345301163
409	0.01342972289
410	0.01339103081
411	0.01337044806
412	0.01334012665
413	0.01330931873
414	0.01328622159
415	0.01325302687
416	0.01322307738
417	0.01317835508
418	0.01314693958
419	0.01311712441
420	0.01308060548
421	0.01305087316
